created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 21 05:07:29 +0000 2024;1748935322652786910;"@aniesbaswedan Bah Alhamdulillah saya sudah liat timelapse pembangunan JIS, masya Allah begitu rapih dan jadi baliho terbaik dari warga DKI jakarta untuk AMIN.  cuma gini, buat ngebandingin saja kan agar memilih secara rasional yekan, ada ga yang punya timelapse food estate, kalo ada share dong";0;3;5;49;in;127273546;1748918323457507337;m_fauzi_id;https://twitter.com/m_fauzi_id/status/1748935322652786910
Sun Jan 21 05:04:32 +0000 2024;1748934581666132449;"@nafaratirta @tempodotco baliho capres lu noh, bala";0;0;0;0;in;1521708102919520256;1748694639119650997;junejulyy_18;https://twitter.com/junejulyy_18/status/1748934581666132449
Sun Jan 21 05:02:52 +0000 2024;1748934162755822049;"@Pionhre harusnya kmu copotin itu baliho";0;1;0;0;in;739944466333741057;1748933749163888730;kaewaragi;https://twitter.com/kaewaragi/status/1748934162755822049
Sun Jan 21 05:02:16 +0000 2024;1748934012562022771;"Jogja hujan lebat. Waspada yang sedang di jalan. Terutama saat melintasi pohon dan baliho-baliho 😰 https://t.co/fxAgEyEKx7";0;1;0;1;in;95315918;1748934012562022771;fithhh;https://twitter.com/fithhh/status/1748934012562022771
Sun Jan 21 05:01:54 +0000 2024;1748933920190795812;"[Breaking News] Rumah sakit Bethesda Lempuyangan, baliho Bank BPD ngambruki mobil. | @chepep https://t.co/ZMIESfF3ra";3;4;23;125;in;1279804428724211712;1748933920190795812;merapi_uncover;https://twitter.com/merapi_uncover/status/1748933920190795812
Sun Jan 21 05:01:14 +0000 2024;1748933749163888730;"Enek banget gue liat baliho di sepanjang trotoar";0;5;0;0;in;1566322781767499777;1748933749163888730;Pionhre;https://twitter.com/Pionhre/status/1748933749163888730
Sun Jan 21 04:35:26 +0000 2024;1748927259455754466;"Ada gak capres/caleg yang bisa bikin regulasi melarang kampanye pake spanduk/baliho/bendera? Sumpah NYAMPAH bgt mata w sakit pala w mumet tiap di jalan";0;0;0;0;in;757159027;1748927259455754466;xpracmatism;https://twitter.com/xpracmatism/status/1748927259455754466
Sun Jan 21 04:34:26 +0000 2024;1748927005058601050;"@AirinDatangLagi Wkwkwk...si mbaknya bilang baliho @psi_id lebih banyak daripada anggota partainya🤭🤭🤭";0;0;0;5;in;233914101;1748917431056441847;raja_80;https://twitter.com/raja_80/status/1748927005058601050
Sun Jan 21 04:33:53 +0000 2024;1748926869930659934;"@gm_gm Beda jauh dengan mbah, suke nyebar nyebar hoaxs, segala baliho di kepoin😀😀😀";0;0;0;1;in;1308303202488520704;1748718409951621395;verryjudo;https://twitter.com/verryjudo/status/1748926869930659934
Sun Jan 21 04:33:36 +0000 2024;1748926794752000125;"@txtdrjkt Bukan karma seharusnya, tp emg 22nya ora ada kesadaran, lewat jalur busway salah, baliho caleg juga kaya kntl. 🙏";0;0;0;0;in;1388319739;1748573051145379998;avechienam;https://twitter.com/avechienam/status/1748926794752000125
Sun Jan 21 04:28:37 +0000 2024;1748925543356244257;"@253_169 asli ni baliho kgk ada faedahnya sama sekali, menang kgk nyusahin iyaa";0;0;0;0;in;262960363;1747756263499555020;169_253;https://twitter.com/169_253/status/1748925543356244257
Sun Jan 21 04:26:06 +0000 2024;1748924907310952467;"@Mentalmath5 @strike_bravo_b Sayangnya sampai saat ini banyak banyakan baliho itu jadi cara yang paling efektif buat ngenalin partai ke masyarakat selain ngasih duit 100ribuan";0;0;0;0;in;192890185;1748870008883773942;kutuairjet;https://twitter.com/kutuairjet/status/1748924907310952467
